Mission,Date, Duration (hours) ,Duration (minutes),Spacewalker
STS-88,"Monday, December 7, 1998",7,21,Jerry Ross
STS-88,"Monday, December 7, 1998",7,21,James Newman
STS-88,"Wednesday, December 9, 1998",7,2,Jerry Ross
STS-88,"Wednesday, December 9, 1998",7,2,James Newman
STS-88,"Saturday, December 12, 1998",6,59,Jerry Ross
STS-88,"Saturday, December 12, 1998",6,59,James Newman
STS-96,"Sunday, May 30, 1999",7,55,Tamara Jernigan
STS-96,"Sunday, May 30, 1999",7,55,Daniel Barry
STS-101,"Monday, May 22, 2000",6,44,James Voss
STS-101,"Monday, May 22, 2000",6,44,Jeff Williams
STS-106,"Monday, September 11, 2000",6,14,Edward Lu
STS-106,"Monday, September 11, 2000",6,14,Yuri Malenchenko
STS-92,"Sunday, October 15, 2000",6,28,Leroy Chiao
STS-92,"Sunday, October 15, 2000",6,28,Bill McArthur
STS-92,"Monday, October 16, 2000",7,7,Michael Lopez-Alegria
STS-92,"Monday, October 16, 2000",7,7,Peter J.Wisoff
STS-92,"Tuesday, October 17, 2000",6,48,Leroy Chiao
STS-92,"Tuesday, October 17, 2000",6,48,Bill McArthur
STS-92,"Wednesday, October 18, 2000",6,56,Michael Lopez-Alegria
STS-92,"Wednesday, October 18, 2000",6,56,Peter J.Wisoff
STS-97,"Sunday, December 3, 2000",7,33,Joseph Tanner
STS-97,"Sunday, December 3, 2000",7,33,Carlos Noriega
STS-97,"Tuesday, December 5, 2000",6,37,Joseph Tanner
STS-97,"Tuesday, December 5, 2000",6,37,Carlos Noriega
STS-97,"Thursday, December 7, 2000",5,10,Joseph Tanner
STS-97,"Thursday, December 7, 2000",5,10,Carlos Noriega
STS-98,"Saturday, February 10, 2001",7,34,Thomas Jones
STS-98,"Saturday, February 10, 2001",7,34,Robert Curbeam
STS-98,"Monday, February 12, 2001",6,50,Thomas Jones
STS-98,"Monday, February 12, 2001",6,50,Robert Curbeam
STS-98,"Wednesday, February 14, 2001",5,25,Thomas Jones
STS-98,"Wednesday, February 14, 2001",5,25,Robert Curbeam
STS-102,"Sunday, March 11, 2001",8,56,James Voss
STS-102,"Sunday, March 11, 2001",8,56,Susan Helms
STS-102,"Tuesday, March 13, 2001",6,21,Andrew Thomas
STS-102,"Tuesday, March 13, 2001",6,21,Paul Richards
STS-100,"Sunday, April 22, 2001",7,10,Chris Hadfield
STS-100,"Sunday, April 22, 2001",7,10,Scott Parazynski
STS-100,"Tuesday, April 24, 2001",7,40,Chris Hadfield
STS-100,"Tuesday, April 24, 2001",7,40,Scott Parazynski
Expedition 2,"Friday, June 8, 2001", -   ,19,Yury Usachev
Expedition 2,"Friday, June 8, 2001", -   ,19,James Voss
STS-104,"Sunday, July 15, 2001",5,59,Michael Gernhardt
STS-104,"Sunday, July 15, 2001",5,59,James Reilly
STS-104,"Wednesday, July 18, 2001",6,29,Michael Gernhardt
STS-104,"Wednesday, July 18, 2001",6,29,James Reilly
STS-104,"Saturday, July 21, 2001",4,2,Michael Gernhardt
STS-104,"Saturday, July 21, 2001",4,2,James Reilly
STS-105,"Thursday, August 16, 2001",5,16,Daniel Barry
STS-105,"Thursday, August 16, 2001",5,16,Patrick Forrester
STS-105,"Saturday, August 18, 2001",5,29,Daniel Barry
STS-105,"Saturday, August 18, 2001",5,29,Patrick Forrester
Expedition 3,"Monday, October 8, 2001",4,58,Vladimir Dezhurov
Expedition 3,"Monday, October 8, 2001",4,58,Mikhail Tyurin
Expedition 3,"Monday, October 15, 2001",5,52,Vladimir Dezhurov
Expedition 3,"Monday, October 15, 2001",5,52,Mikhail Tyurin
Expedition 3,"Monday, November 12, 2001",5,4,Vladimir Dezhurov
Expedition 3,"Monday, November 12, 2001",5,4,Frank Culbertson
Expedition 3,"Monday, December 3, 2001",2,46,Vladimir Dezhurov
Expedition 3,"Monday, December 3, 2001",2,46,Mikhail Tyurin
STS-108,"Monday, December 10, 2001",4,12,Linda Godwin
STS-108,"Monday, December 10, 2001",4,12,Dan Tani
Expedition 4,"Monday, January 14, 2002",6,3,Yury Onufrienko
Expedition 4,"Monday, January 14, 2002",6,3,Carl Walz
Expedition 4,"Friday, January 25, 2002",5,59,Yury Onufrienko
Expedition 4,"Friday, January 25, 2002",5,59,Dan Bursch
Expedition 4,"Wednesday, February 20, 2002",5,47,Carl Walz
Expedition 4,"Wednesday, February 20, 2002",5,47,Dan Bursch
STS-110,"Thursday, April 11, 2002",7,48,Steven Smith
STS-110,"Thursday, April 11, 2002",7,48,Rex Walheim
STS-110,"Saturday, April 13, 2002",7,30,Jerry Ross
STS-110,"Saturday, April 13, 2002",7,30,Lee Morin
STS-110,"Sunday, April 14, 2002",6,27,Steven Smith
STS-110,"Sunday, April 14, 2002",6,27,Rex Walheim
STS-110,"Tuesday, April 16, 2002",6,37,Jerry Ross
STS-110,"Tuesday, April 16, 2002",6,37,Lee Morin
STS-111,"Sunday, June 9, 2002",7,14,Franklin Chang-Diaz
STS-111,"Sunday, June 9, 2002",7,14,Philippe Perrin
STS-111,"Tuesday, June 11, 2002",5,0,Franklin Chang-Diaz
STS-111,"Tuesday, June 11, 2002",5,0,Philippe Perrin
STS-111,"Thursday, June 13, 2002",7,17,Franklin Chang-Diaz
STS-111,"Thursday, June 13, 2002",7,17,Philippe Perrin
Expedition 5,"Friday, August 16, 2002",4,25,Valery Korzun
Expedition 5,"Friday, August 16, 2002",4,25,Peggy Whitson
Expedition 5,"Monday, August 26, 2002",5,21,Valery Korzun
